Item,Category,Serving Size (g),Calories,Cal. From Fat,Total Fat (g),Sat. Fat (g),Trans Fat (g)*,Chol. (mg),Sodium (mg),Carbohydrate(g),Dietary Fiber (g),Sugars (g),Protein(g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
Sweet Onion Chicken Teriyaki  (includes Sweet Onion),Salad,413,230,25,3,1,0,50,650,34,4,23,19,60,60,8,10
Turkey Breast,Salad,342,110,20,2,0.5,0,20,560,13,4,7,12,50,50,6,10
Veggie Delite®,Salad,286,50,10,1,0,0,0,80,11,4,6,3,50,50,6,8
Chicken & Bacon Ranch Melt (includes Ranch),Salad,443,540,360,40,12,1,100,1290,15,4,9,32,60,50,30,15
Cold Cut Combo,Salad,349,180,90,10,4,0,45,830,13,4,7,12,50,50,10,15
Italian B.M.T.®,Salad,349,230,140,15,6,0,45,1060,13,4,8,14,50,50,6,10
Meatball Marinara,Salad,424,310,150,17,7,1,40,790,27,6,12,15,70,60,10,15
Spicy Italian,Salad,345,310,210,23,9,0.5,50,1290,13,4,8,14,50,50,8,10
Steak & Cheese,Salad,368,210,75,8,4,0,50,830,16,4,8,20,60,50,15,15
Tuna,Salad,360,310,220,24,4,0,40,370,11,4,6,15,50,50,6,15
Chipotle Southwest,Dressing,43,190,180,20,3.5,0,15,330,2,0,1,1,2,2,0,0
Oil & Vinegar,Dressing,43,190,190,21,1.5,0,0,0,0,0,0,0,0,0,0,0
Ranch Dressing,Dressing,43,220,210,23,3.5,0,10,400,2,0,2,0,0,0,0,0
Subway® Vinaigrette,Dressing,43,110,100,11,1.5,0,0,330,3,0,2,0,0,0,0,0
Sweet Onion Sauce,Dressing,43,80,5,0,0,0,0,170,18,0,16,0,0,2,0,0
"6"" Black Forest Ham, Egg White & Cheese",Breakfast,203,360,80,9,3.5,0,25,1180,45,4,6,25,4,0,40,20
"6"" Egg White & Cheese",Breakfast,174,330,70,8,3,0,10,920,44,4,5,20,4,0,40,15
"6"" Bacon, Egg White & Cheese",Breakfast,190,410,120,13,5,0,20,1340,45,4,6,26,4,0,40,20
"6"" Steak, Egg White & Cheese",Breakfast,217,400,90,10,4,0,35,1250,46,4,6,29,4,0,40,20
"6"" Breakfast B.M.T®**",Breakfast,261,470,160,17,7,0,45,1670,47,5,7,30,10,8,40,20
"6"" Mega Melt**",Breakfast,246,550,210,24,10,0,55,1860,46,4,6,36,6,0,40,25
"6"" Sausage, Egg White & Cheese**",Breakfast,231,470,170,18,8,0,45,1440,45,4,5,30,6,0,40,20
"6"" Sunrise Subway Melt®**",Breakfast,281,470,130,15,6,0,40,1850,48,5,8,36,10,8,40,20
"6"" Black Forest Ham, Egg & Cheese",Breakfast,203,400,120,14,5,0,185,1150,45,4,6,24,10,0,40,15
"6"" Egg & Cheese",Breakfast,174,370,120,13,4.5,0,170,880,44,4,5,19,10,0,40,15
"6"" Bacon, Egg & Cheese",Breakfast,190,450,160,18,7,0,180,1310,44,4,6,25,10,0,40,20
"6"" Steak, Egg & Cheese",Breakfast,217,440,140,15,6,0,195,1210,46,4,6,28,10,0,40,20
"6"" Breakfast B.M.T®**",Breakfast,261,500,200,23,8,0,205,1630,47,5,7,29,20,8,40,20
"6"" Mega Melt**",Breakfast,246,590,260,29,11,0,215,1830,45,4,6,35,15,0,45,20
"6"" Sausage, Egg & Cheese**",Breakfast,231,510,210,24,9,0,205,1400,45,4,6,29,15,0,40,20
"6"" Sunrise Subway Melt®**",Breakfast,281,510,180,20,7,0,205,1810,48,5,8,34,20,8,40,20
"6"" Black Forest Ham, Egg White & Cheese Flatbread",Breakfast,211,370,100,11,3.5,0,25,1250,44,2,3,25,4,8,30,20
"6"" Egg White & Cheese Flatbread",Breakfast,183,340,90,10,3.5,0,10,980,43,2,2,20,4,8,30,15
"6"" Bacon, Egg White & Cheese Flatbread",Breakfast,198,430,140,15,5,0,20,1410,44,2,3,26,4,8,30,20
"6"" Steak, Egg White & Cheese  Flatbread",Breakfast,225,410,110,12,4,0,35,1320,45,2,3,29,4,8,35,20
"6"" Breakfast B.M.T® Flatbread**",Breakfast,270,480,180,20,7,0,45,1730,46,2,5,30,10,16,35,20
